姉,elder sister
歌,song
男,male
人,person
女,woman
人,person
会,meeting
社,company
家,house
族,tribe
髪,hair of the head
兄,elder brother
弟,younger brother
口,mouth
国,country
車,car
食,eat
堂,public chamber
父,father
母,mama
目,eye
眼,eyeball
鏡,mirror
